Rok,RID,NAZEV,přihlášek,"""živých"" přihlášek",přihlášených,"""živých"" přihlášených",přijetí,přijatých,zápisů,zapsaných
2014,27240,Fakulta elektrotechniky a informatiky,1226,1215,1174,1164,915,886,747,746
2014,27350,Hornicko-geologická fakulta,1132,1132,1092,1092,1040,1012,877,874
2014,27360,Fakulta metalurgie a materiálového inženýrství,693,693,672,672,617,602,542,541
2014,27510,Ekonomická fakulta,2077,1916,2027,1876,1381,1363,1219,1218
2014,27900,celoškolská pracoviště,94,78,88,73,55,52,40,39
2014,28000,Univerzita Tomáše Bati ve Zlíně,7536,7100,6108,5803,3692,3369,2982,2946
2014,28110,Fakulta technologická,1064,1064,1035,1035,920,920,751,751
2014,28120,Fakulta managementu a ekonomiky,1490,1305,1205,1062,633,521,507,503
2014,28130,Fakulta multimediálních komunikací,1075,875,1047,854,156,156,154,154
2014,28140,Fakulta aplikované informatiky,916,865,803,765,596,542,477,475
2014,28150,Fakulta humanitních studií,2273,2273,1910,1910,765,750,694,690
2014,28160,Fakulta logistiky a krizového řízení,718,718,626,626,622,558,399,397
2014,31000,Vysoká škola ekonomická v Praze,8518,6820,6232,5149,3170,2881,2620,2584
2014,31110,Fakulta financí a účetnictví,1365,1100,1364,1099,340,339,335,334
2014,31120,Fakulta mezinárodních vztahů,1896,1462,1889,1460,675,674,533,533
2014,31130,Fakulta podnikohospodářská,1800,1279,1771,1257,633,630,451,451
2014,31140,Fakulta informatiky a statistiky,1429,1085,1330,1019,535,530,527,523
2014,31150,Národohospodářská fakulta,1393,1393,1362,1362,529,529,529,529
2014,31160,Fakulta managementu v Jindřichůvě Hradci,635,501,623,490,458,450,245,245
2014,41000,Česká zemědělská univerzita v Praze,14824,11518,11489,9163,8080,6894,5516,5379
2014,41110,Provozně ekonomická fakulta,5998,4517,4847,3635,2650,2278,1685,1672
2014,41210,Agronomická fakulta,3089,2405,2391,1892,1813,1498,1236,1222
2014,41310,Technická fakulta,1816,1431,1687,1327,1226,1143,834,832
2014,41320,Fakulta lesnická a dřevařská,1296,988,1191,933,805,772,566,563
